"id","date","hour","value","valid","unit","station_id","station_name"
"141TMP23010101","2023-01-01",1,17.12,1,"°C",141,"Obispado"
"141TMP23010102","2023-01-01",2,16.69,1,"°C",141,"Obispado"
"141TMP23010103","2023-01-01",3,15.99,1,"°C",141,"Obispado"
"141TMP23010104","2023-01-01",4,14.74,1,"°C",141,"Obispado"
"141TMP23010105","2023-01-01",5,14.53,1,"°C",141,"Obispado"
"141TMP23010106","2023-01-01",6,14.55,1,"°C",141,"Obispado"
"141TMP23010107","2023-01-01",7,16.08,1,"°C",141,"Obispado"
"141TMP23010108","2023-01-01",8,16.6,1,"°C",141,"Obispado"
"141TMP23010109","2023-01-01",9,19.7,1,"°C",141,"Obispado"
"141TMP23010110","2023-01-01",10,22.98,1,"°C",141,"Obispado"
"141TMP23010111","2023-01-01",11,26.13,1,"°C",141,"Obispado"
"141TMP23010112","2023-01-01",12,27.96,1,"°C",141,"Obispado"
"141TMP23010113","2023-01-01",13,29.14,1,"°C",141,"Obispado"
"141TMP23010114","2023-01-01",14,29.69,1,"°C",141,"Obispado"
"141TMP23010115","2023-01-01",15,30.58,1,"°C",141,"Obispado"
"141TMP23010116","2023-01-01",16,30.43,1,"°C",141,"Obispado"
"141TMP23010117","2023-01-01",17,29.53,1,"°C",141,"Obispado"
"141TMP23010118","2023-01-01",18,27.35,1,"°C",141,"Obispado"
"141TMP23010119","2023-01-01",19,25.75,1,"°C",141,"Obispado"
"141TMP23010120","2023-01-01",20,24.28,1,"°C",141,"Obispado"
"141TMP23010121","2023-01-01",21,23.05,1,"°C",141,"Obispado"
"141TMP23010122","2023-01-01",22,22.45,1,"°C",141,"Obispado"
"141TMP23010123","2023-01-01",23,21.57,1,"°C",141,"Obispado"
"141TMP23010200","2023-01-02",0,20.13,1,"°C",141,"Obispado"
"141TMP23010201","2023-01-02",1,19.04,1,"°C",141,"Obispado"
"141TMP23010202","2023-01-02",2,18.32,1,"°C",141,"Obispado"
"141TMP23010203","2023-01-02",3,17.28,1,"°C",141,"Obispado"
"141TMP23010204","2023-01-02",4,16.98,1,"°C",141,"Obispado"
"141TMP23010205","2023-01-02",5,16.4,1,"°C",141,"Obispado"
"141TMP23010206","2023-01-02",6,16.11,1,"°C",141,"Obispado"
"141TMP23010207","2023-01-02",7,15.58,1,"°C",141,"Obispado"
"141TMP23010208","2023-01-02",8,17.91,1,"°C",141,"Obispado"
"141TMP23010209","2023-01-02",9,20.81,1,"°C",141,"Obispado"
"141TMP23010210","2023-01-02",10,22.3,1,"°C",141,"Obispado"
"141TMP23010211","2023-01-02",11,23.38,1,"°C",141,"Obispado"
"141TMP23010212","2023-01-02",12,26.2,1,"°C",141,"Obispado"
"141TMP23010213","2023-01-02",13,26.76,1,"°C",141,"Obispado"
"141TMP23010214","2023-01-02",14,28.07,1,"°C",141,"Obispado"
"141TMP23010215","2023-01-02",15,28.22,1,"°C",141,"Obispado"
"141TMP23010216","2023-01-02",16,28.9,1,"°C",141,"Obispado"
"141TMP23010217","2023-01-02",17,28.04,1,"°C",141,"Obispado"
"141TMP23010218","2023-01-02",18,26.63,1,"°C",141,"Obispado"
"141TMP23010219","2023-01-02",19,25.66,1,"°C",141,"Obispado"
"141TMP23010220","2023-01-02",20,23.49,1,"°C",141,"Obispado"
"141TMP23010221","2023-01-02",21,21.7,1,"°C",141,"Obispado"
"141TMP23010222","2023-01-02",22,21.38,1,"°C",141,"Obispado"
"141TMP23010223","2023-01-02",23,20.71,1,"°C",141,"Obispado"
"141TMP23010300","2023-01-03",0,20.18,1,"°C",141,"Obispado"
"141TMP23010301","2023-01-03",1,20.27,1,"°C",141,"Obispado"
"141TMP23010302","2023-01-03",2,19.65,1,"°C",141,"Obispado"
"141TMP23010303","2023-01-03",3,19.45,1,"°C",141,"Obispado"
"141TMP23010304","2023-01-03",4,19.37,1,"°C",141,"Obispado"
"141TMP23010305","2023-01-03",5,19.63,1,"°C",141,"Obispado"
"141TMP23010306","2023-01-03",6,19.47,1,"°C",141,"Obispado"
"141TMP23010307","2023-01-03",7,19.19,1,"°C",141,"Obispado"
"141TMP23010308","2023-01-03",8,19.71,1,"°C",141,"Obispado"
"141TMP23010309","2023-01-03",9,18.99,1,"°C",141,"Obispado"
"141TMP23010310","2023-01-03",10,19.85,1,"°C",141,"Obispado"
"141TMP23010311","2023-01-03",11,21.6,1,"°C",141,"Obispado"
"141TMP23010312","2023-01-03",12,23.52,1,"°C",141,"Obispado"
"141TMP23010313","2023-01-03",13,24.64,1,"°C",141,"Obispado"
"141TMP23010314","2023-01-03",14,25.94,1,"°C",141,"Obispado"
"141TMP23010315","2023-01-03",15,26.85,1,"°C",141,"Obispado"
"141TMP23010316","2023-01-03",16,27.35,1,"°C",141,"Obispado"
"141TMP23010317","2023-01-03",17,27.14,1,"°C",141,"Obispado"
"141TMP23010318","2023-01-03",18,25.31,1,"°C",141,"Obispado"
"141TMP23010319","2023-01-03",19,23.27,1,"°C",141,"Obispado"
"141TMP23010320","2023-01-03",20,22.09,1,"°C",141,"Obispado"
"141TMP23010321","2023-01-03",21,20.13,1,"°C",141,"Obispado"
"141TMP23010322","2023-01-03",22,18.66,1,"°C",141,"Obispado"
"141TMP23010323","2023-01-03",23,18.03,1,"°C",141,"Obispado"
"141TMP23010400","2023-01-04",0,16.95,1,"°C",141,"Obispado"
"141TMP23010401","2023-01-04",1,16.89,1,"°C",141,"Obispado"
"141TMP23010402","2023-01-04",2,16.59,1,"°C",141,"Obispado"
"141TMP23010403","2023-01-04",3,16.14,1,"°C",141,"Obispado"
"141TMP23010404","2023-01-04",4,15.93,1,"°C",141,"Obispado"
"141TMP23010405","2023-01-04",5,15.58,1,"°C",141,"Obispado"
"141TMP23010406","2023-01-04",6,15.33,1,"°C",141,"Obispado"
"141TMP23010407","2023-01-04",7,15.17,1,"°C",141,"Obispado"
"141TMP23010408","2023-01-04",8,15.15,1,"°C",141,"Obispado"
"141TMP23010409","2023-01-04",9,18.15,1,"°C",141,"Obispado"
"141TMP23010410","2023-01-04",10,20.57,1,"°C",141,"Obispado"
"141TMP23010411","2023-01-04",11,22.33,1,"°C",141,"Obispado"
"141TMP23010412","2023-01-04",12,22.47,1,"°C",141,"Obispado"
"141TMP23010413","2023-01-04",13,23.28,1,"°C",141,"Obispado"
"141TMP23010414","2023-01-04",14,23.98,1,"°C",141,"Obispado"
"141TMP23010415","2023-01-04",15,24.56,1,"°C",141,"Obispado"
"141TMP23010416","2023-01-04",16,25,1,"°C",141,"Obispado"
"141TMP23010417","2023-01-04",17,24.64,1,"°C",141,"Obispado"
"141TMP23010418","2023-01-04",18,23.32,1,"°C",141,"Obispado"
"141TMP23010419","2023-01-04",19,21.96,1,"°C",141,"Obispado"
"141TMP23010420","2023-01-04",20,20.92,1,"°C",141,"Obispado"
"141TMP23010421","2023-01-04",21,19.93,1,"°C",141,"Obispado"
"141TMP23010422","2023-01-04",22,19.18,1,"°C",141,"Obispado"
"141TMP23010423","2023-01-04",23,18.46,1,"°C",141,"Obispado"
"141TMP23010500","2023-01-05",0,16.97,1,"°C",141,"Obispado"
"141TMP23010501","2023-01-05",1,16.03,1,"°C",141,"Obispado"
"141TMP23010502","2023-01-05",2,15.78,1,"°C",141,"Obispado"
"141TMP23010503","2023-01-05",3,14.6,1,"°C",141,"Obispado"
"141TMP23010504","2023-01-05",4,14.37,1,"°C",141,"Obispado"
"141TMP23010505","2023-01-05",5,13.87,1,"°C",141,"Obispado"
"141TMP23010506","2023-01-05",6,13.24,1,"°C",141,"Obispado"
"141TMP23010507","2023-01-05",7,13.13,1,"°C",141,"Obispado"
"141TMP23010508","2023-01-05",8,13.42,1,"°C",141,"Obispado"
"141TMP23010509","2023-01-05",9,16.22,1,"°C",141,"Obispado"
"141TMP23010510","2023-01-05",10,19.63,1,"°C",141,"Obispado"
"141TMP23010511","2023-01-05",11,22.13,1,"°C",141,"Obispado"
"141TMP23010512","2023-01-05",12,23.17,1,"°C",141,"Obispado"
"141TMP23010513","2023-01-05",13,23.39,1,"°C",141,"Obispado"
"141TMP23010514","2023-01-05",14,24.22,1,"°C",141,"Obispado"
"141TMP23010515","2023-01-05",15,24.91,1,"°C",141,"Obispado"
"141TMP23010516","2023-01-05",16,25.33,1,"°C",141,"Obispado"
"141TMP23010517","2023-01-05",17,25.04,1,"°C",141,"Obispado"
"141TMP23010518","2023-01-05",18,23.96,1,"°C",141,"Obispado"
"141TMP23010519","2023-01-05",19,22.86,1,"°C",141,"Obispado"
"141TMP23010520","2023-01-05",20,21.7,1,"°C",141,"Obispado"
"141TMP23010521","2023-01-05",21,20.59,1,"°C",141,"Obispado"
"141TMP23010522","2023-01-05",22,21.2,1,"°C",141,"Obispado"
"141TMP23010523","2023-01-05",23,20.72,1,"°C",141,"Obispado"
"141TMP23010600","2023-01-06",0,19.52,1,"°C",141,"Obispado"
"141TMP23010601","2023-01-06",1,17.57,1,"°C",141,"Obispado"
"141TMP23010602","2023-01-06",2,16.46,1,"°C",141,"Obispado"
"141TMP23010603","2023-01-06",3,15.49,1,"°C",141,"Obispado"
"141TMP23010604","2023-01-06",4,15.45,1,"°C",141,"Obispado"
"141TMP23010605","2023-01-06",5,15.5,1,"°C",141,"Obispado"
"141TMP23010606","2023-01-06",6,15.52,1,"°C",141,"Obispado"
"141TMP23010607","2023-01-06",7,15.36,1,"°C",141,"Obispado"
"141TMP23010608","2023-01-06",8,15.05,1,"°C",141,"Obispado"
"141TMP23010609","2023-01-06",9,15.09,1,"°C",141,"Obispado"
"141TMP23010610","2023-01-06",10,16.18,1,"°C",141,"Obispado"
"141TMP23010611","2023-01-06",11,18.73,1,"°C",141,"Obispado"
"141TMP23010612","2023-01-06",12,19.94,1,"°C",141,"Obispado"
"141TMP23010613","2023-01-06",13,21,1,"°C",141,"Obispado"
"141TMP23010614","2023-01-06",14,22.33,1,"°C",141,"Obispado"
"141TMP23010615","2023-01-06",15,23.31,1,"°C",141,"Obispado"
"141TMP23010616","2023-01-06",16,24.26,1,"°C",141,"Obispado"
"141TMP23010617","2023-01-06",17,25.02,1,"°C",141,"Obispado"
"141TMP23010618","2023-01-06",18,23.63,1,"°C",141,"Obispado"
"141TMP23010619","2023-01-06",19,22.49,1,"°C",141,"Obispado"
"141TMP23010620","2023-01-06",20,21.87,1,"°C",141,"Obispado"
"141TMP23010621","2023-01-06",21,21.67,1,"°C",141,"Obispado"
"141TMP23010622","2023-01-06",22,20.8,1,"°C",141,"Obispado"
"141TMP23010623","2023-01-06",23,19.01,1,"°C",141,"Obispado"
"141TMP23010700","2023-01-07",0,18.19,1,"°C",141,"Obispado"
"141TMP23010701","2023-01-07",1,17.61,1,"°C",141,"Obispado"
"141TMP23010702","2023-01-07",2,16.9,1,"°C",141,"Obispado"
"141TMP23010703","2023-01-07",3,15.97,1,"°C",141,"Obispado"
"141TMP23010704","2023-01-07",4,15.25,1,"°C",141,"Obispado"
"141TMP23010705","2023-01-07",5,14.89,1,"°C",141,"Obispado"
"141TMP23010706","2023-01-07",6,14.59,1,"°C",141,"Obispado"
"141TMP23010707","2023-01-07",7,14.12,1,"°C",141,"Obispado"
"141TMP23010708","2023-01-07",8,13.76,1,"°C",141,"Obispado"
"141TMP23010709","2023-01-07",9,16.53,1,"°C",141,"Obispado"
"141TMP23010710","2023-01-07",10,20.69,1,"°C",141,"Obispado"
"141TMP23010711","2023-01-07",11,21.16,1,"°C",141,"Obispado"
"141TMP23010712","2023-01-07",12,22.44,1,"°C",141,"Obispado"
"141TMP23010713","2023-01-07",13,24.25,1,"°C",141,"Obispado"
"141TMP23010714","2023-01-07",14,26.13,1,"°C",141,"Obispado"
"141TMP23010715","2023-01-07",15,26.48,1,"°C",141,"Obispado"
"141TMP23010716","2023-01-07",16,27.43,1,"°C",141,"Obispado"
"141TMP23010717","2023-01-07",17,26.34,1,"°C",141,"Obispado"
"141TMP23010718","2023-01-07",18,24.58,1,"°C",141,"Obispado"
"141TMP23010719","2023-01-07",19,23.18,1,"°C",141,"Obispado"
"141TMP23010720","2023-01-07",20,21.98,1,"°C",141,"Obispado"
"141TMP23010721","2023-01-07",21,20.7,1,"°C",141,"Obispado"
"141TMP23010722","2023-01-07",22,19.9,1,"°C",141,"Obispado"
"141TMP23010723","2023-01-07",23,19.33,1,"°C",141,"Obispado"
"141TMP23010800","2023-01-08",0,18.75,1,"°C",141,"Obispado"
"141TMP23010801","2023-01-08",1,18.42,1,"°C",141,"Obispado"
"141TMP23010802","2023-01-08",2,17.89,1,"°C",141,"Obispado"
"141TMP23010803","2023-01-08",3,17.99,1,"°C",141,"Obispado"
"141TMP23010804","2023-01-08",4,18.09,1,"°C",141,"Obispado"
"141TMP23010805","2023-01-08",5,17.92,1,"°C",141,"Obispado"
"141TMP23010806","2023-01-08",6,17.91,1,"°C",141,"Obispado"
"141TMP23010807","2023-01-08",7,18.04,1,"°C",141,"Obispado"
"141TMP23010808","2023-01-08",8,18.11,1,"°C",141,"Obispado"
"141TMP23010809","2023-01-08",9,18.16,1,"°C",141,"Obispado"
"141TMP23010810","2023-01-08",10,18.36,1,"°C",141,"Obispado"
"141TMP23010816","2023-01-08",16,21.24,1,"°C",141,"Obispado"
"141TMP23010817","2023-01-08",17,21.05,1,"°C",141,"Obispado"
"141TMP23010818","2023-01-08",18,20.74,1,"°C",141,"Obispado"
"141TMP23010819","2023-01-08",19,19.87,1,"°C",141,"Obispado"
"141TMP23010820","2023-01-08",20,19.3,1,"°C",141,"Obispado"
"141TMP23010821","2023-01-08",21,18.88,1,"°C",141,"Obispado"
"141TMP23010822","2023-01-08",22,18.39,1,"°C",141,"Obispado"
"141TMP23010823","2023-01-08",23,18.02,1,"°C",141,"Obispado"
"141TMP23010900","2023-01-09",0,17.85,1,"°C",141,"Obispado"
"141TMP23010901","2023-01-09",1,18.2,1,"°C",141,"Obispado"
"141TMP23010902","2023-01-09",2,18.07,1,"°C",141,"Obispado"
"141TMP23010903","2023-01-09",3,17.22,1,"°C",141,"Obispado"
"141TMP23010904","2023-01-09",4,15.93,1,"°C",141,"Obispado"
"141TMP23010905","2023-01-09",5,15.76,1,"°C",141,"Obispado"
"141TMP23010906","2023-01-09",6,15.7,1,"°C",141,"Obispado"
"141TMP23010907","2023-01-09",7,15.56,1,"°C",141,"Obispado"
"141TMP23010908","2023-01-09",8,15.48,1,"°C",141,"Obispado"
"141TMP23010910","2023-01-09",10,18.39,1,"°C",141,"Obispado"
"141TMP23010912","2023-01-09",12,20.46,1,"°C",141,"Obispado"
"141TMP23010914","2023-01-09",14,21.17,1,"°C",141,"Obispado"
"141TMP23010917","2023-01-09",17,21.73,1,"°C",141,"Obispado"
"141TMP23010920","2023-01-09",20,19.28,1,"°C",141,"Obispado"
"141TMP23010921","2023-01-09",21,18.3,1,"°C",141,"Obispado"
"141TMP23010922","2023-01-09",22,17.45,1,"°C",141,"Obispado"
"141TMP23010923","2023-01-09",23,16.85,1,"°C",141,"Obispado"
"141TMP23011000","2023-01-10",0,16.41,1,"°C",141,"Obispado"
"141TMP23011001","2023-01-10",1,16.13,1,"°C",141,"Obispado"
"141TMP23011002","2023-01-10",2,15.84,1,"°C",141,"Obispado"
"141TMP23011003","2023-01-10",3,15.24,1,"°C",141,"Obispado"
"141TMP23011004","2023-01-10",4,14.82,1,"°C",141,"Obispado"
"141TMP23011008","2023-01-10",8,14.71,1,"°C",141,"Obispado"
"141TMP23011011","2023-01-10",11,21.93,1,"°C",141,"Obispado"
"141TMP23011012","2023-01-10",12,24.09,1,"°C",141,"Obispado"
"141TMP23011013","2023-01-10",13,25.27,1,"°C",141,"Obispado"
"141TMP23011014","2023-01-10",14,26.75,1,"°C",141,"Obispado"
"141TMP23011015","2023-01-10",15,27.49,1,"°C",141,"Obispado"
"141TMP23011017","2023-01-10",17,27.44,1,"°C",141,"Obispado"
"141TMP23011018","2023-01-10",18,26.31,1,"°C",141,"Obispado"
"141TMP23011019","2023-01-10",19,24.76,1,"°C",141,"Obispado"
"141TMP23011020","2023-01-10",20,23.78,1,"°C",141,"Obispado"
"141TMP23011021","2023-01-10",21,23.21,1,"°C",141,"Obispado"
"141TMP23011022","2023-01-10",22,21.41,1,"°C",141,"Obispado"
"141TMP23011023","2023-01-10",23,20.96,1,"°C",141,"Obispado"
"141TMP23011100","2023-01-11",0,20.26,1,"°C",141,"Obispado"
"141TMP23011101","2023-01-11",1,19.16,1,"°C",141,"Obispado"
"141TMP23011102","2023-01-11",2,18.44,1,"°C",141,"Obispado"
"141TMP23011103","2023-01-11",3,17.74,1,"°C",141,"Obispado"
"141TMP23011104","2023-01-11",4,17.77,1,"°C",141,"Obispado"
"141TMP23011105","2023-01-11",5,16.77,1,"°C",141,"Obispado"
"141TMP23011106","2023-01-11",6,16.88,1,"°C",141,"Obispado"
"141TMP23011107","2023-01-11",7,16.49,1,"°C",141,"Obispado"
"141TMP23011108","2023-01-11",8,16.26,1,"°C",141,"Obispado"
"141TMP23011109","2023-01-11",9,18.89,1,"°C",141,"Obispado"
"141TMP23011118","2023-01-11",18,28.72,1,"°C",141,"Obispado"
"141TMP23011119","2023-01-11",19,26.53,1,"°C",141,"Obispado"
"141TMP23011120","2023-01-11",20,24.09,1,"°C",141,"Obispado"
"141TMP23011121","2023-01-11",21,22.44,1,"°C",141,"Obispado"
"141TMP23011122","2023-01-11",22,22.05,1,"°C",141,"Obispado"
"141TMP23011123","2023-01-11",23,21.02,1,"°C",141,"Obispado"
"141TMP23011200","2023-01-12",0,20.54,1,"°C",141,"Obispado"
"141TMP23011201","2023-01-12",1,20.41,1,"°C",141,"Obispado"
"141TMP23011202","2023-01-12",2,19.47,1,"°C",141,"Obispado"
"141TMP23011203","2023-01-12",3,18.84,1,"°C",141,"Obispado"
"141TMP23011205","2023-01-12",5,18.67,1,"°C",141,"Obispado"
"141TMP23011206","2023-01-12",6,18.86,1,"°C",141,"Obispado"
"141TMP23011207","2023-01-12",7,19.05,1,"°C",141,"Obispado"
"141TMP23011212","2023-01-12",12,21.71,1,"°C",141,"Obispado"
"141TMP23011213","2023-01-12",13,21.81,1,"°C",141,"Obispado"
"141TMP23011214","2023-01-12",14,22.47,1,"°C",141,"Obispado"
"141TMP23011215","2023-01-12",15,23.09,1,"°C",141,"Obispado"
"141TMP23011216","2023-01-12",16,23.28,1,"°C",141,"Obispado"
"141TMP23011217","2023-01-12",17,22.27,1,"°C",141,"Obispado"
"141TMP23011218","2023-01-12",18,20.64,1,"°C",141,"Obispado"
"141TMP23011219","2023-01-12",19,19.07,1,"°C",141,"Obispado"
"141TMP23011220","2023-01-12",20,17.76,1,"°C",141,"Obispado"
"141TMP23011222","2023-01-12",22,16.18,1,"°C",141,"Obispado"
"141TMP23011223","2023-01-12",23,15.37,1,"°C",141,"Obispado"
"141TMP23011301","2023-01-13",1,13.41,1,"°C",141,"Obispado"
"141TMP23011302","2023-01-13",2,12.71,1,"°C",141,"Obispado"
"141TMP23011303","2023-01-13",3,12.2,1,"°C",141,"Obispado"
"141TMP23011304","2023-01-13",4,12.55,1,"°C",141,"Obispado"
"141TMP23011305","2023-01-13",5,12.23,1,"°C",141,"Obispado"
"141TMP23011306","2023-01-13",6,11.97,1,"°C",141,"Obispado"
"141TMP23011307","2023-01-13",7,11.65,1,"°C",141,"Obispado"
"141TMP23011308","2023-01-13",8,11.91,1,"°C",141,"Obispado"
"141TMP23011309","2023-01-13",9,12.9,1,"°C",141,"Obispado"
"141TMP23011311","2023-01-13",11,14.36,1,"°C",141,"Obispado"
"141TMP23011312","2023-01-13",12,15.39,1,"°C",141,"Obispado"
"141TMP23011313","2023-01-13",13,16.21,1,"°C",141,"Obispado"
"141TMP23011314","2023-01-13",14,17.11,1,"°C",141,"Obispado"
"141TMP23011315","2023-01-13",15,17.91,1,"°C",141,"Obispado"
"141TMP23011316","2023-01-13",16,18.29,1,"°C",141,"Obispado"
"141TMP23011317","2023-01-13",17,18.23,1,"°C",141,"Obispado"
"141TMP23011318","2023-01-13",18,17.43,1,"°C",141,"Obispado"
"141TMP23011319","2023-01-13",19,16.22,1,"°C",141,"Obispado"
"141TMP23011320","2023-01-13",20,15.31,1,"°C",141,"Obispado"
"141TMP23011321","2023-01-13",21,14.64,1,"°C",141,"Obispado"
"141TMP23011322","2023-01-13",22,14.18,1,"°C",141,"Obispado"
"141TMP23011323","2023-01-13",23,13.79,1,"°C",141,"Obispado"
"141TMP23011400","2023-01-14",0,13.47,1,"°C",141,"Obispado"
"141TMP23011401","2023-01-14",1,12.97,1,"°C",141,"Obispado"
"141TMP23011402","2023-01-14",2,11.51,1,"°C",141,"Obispado"
"141TMP23011403","2023-01-14",3,10.8,1,"°C",141,"Obispado"
"141TMP23011404","2023-01-14",4,10.07,1,"°C",141,"Obispado"
"141TMP23011405","2023-01-14",5,9.58,1,"°C",141,"Obispado"
"141TMP23011406","2023-01-14",6,9.04,1,"°C",141,"Obispado"
"141TMP23011407","2023-01-14",7,8.52,1,"°C",141,"Obispado"
"141TMP23011408","2023-01-14",8,8.37,1,"°C",141,"Obispado"
"141TMP23011409","2023-01-14",9,11.58,1,"°C",141,"Obispado"
"141TMP23011410","2023-01-14",10,14.22,1,"°C",141,"Obispado"
"141TMP23011411","2023-01-14",11,14.77,1,"°C",141,"Obispado"
"141TMP23011412","2023-01-14",12,16.01,1,"°C",141,"Obispado"
"141TMP23011413","2023-01-14",13,17.18,1,"°C",141,"Obispado"
"141TMP23011415","2023-01-14",15,19.1,1,"°C",141,"Obispado"
"141TMP23011416","2023-01-14",16,19.95,1,"°C",141,"Obispado"
"141TMP23011417","2023-01-14",17,20.11,1,"°C",141,"Obispado"
"141TMP23011418","2023-01-14",18,19.14,1,"°C",141,"Obispado"
"141TMP23011419","2023-01-14",19,17.94,1,"°C",141,"Obispado"
"141TMP23011420","2023-01-14",20,17.2,1,"°C",141,"Obispado"
"141TMP23011421","2023-01-14",21,16.79,1,"°C",141,"Obispado"
"141TMP23011422","2023-01-14",22,16.35,1,"°C",141,"Obispado"
"141TMP23011423","2023-01-14",23,15.22,1,"°C",141,"Obispado"
"141TMP23011500","2023-01-15",0,14.03,1,"°C",141,"Obispado"
"141TMP23011501","2023-01-15",1,12.44,1,"°C",141,"Obispado"
"141TMP23011502","2023-01-15",2,11.77,1,"°C",141,"Obispado"
"141TMP23011503","2023-01-15",3,11.17,1,"°C",141,"Obispado"
"141TMP23011504","2023-01-15",4,10.24,1,"°C",141,"Obispado"
"141TMP23011506","2023-01-15",6,9.72,1,"°C",141,"Obispado"
"141TMP23011507","2023-01-15",7,9.56,1,"°C",141,"Obispado"
"141TMP23011508","2023-01-15",8,9.37,1,"°C",141,"Obispado"
"141TMP23011509","2023-01-15",9,12.89,1,"°C",141,"Obispado"
"141TMP23011510","2023-01-15",10,15.77,1,"°C",141,"Obispado"
"141TMP23011511","2023-01-15",11,18.64,1,"°C",141,"Obispado"
"141TMP23011512","2023-01-15",12,20.15,1,"°C",141,"Obispado"
"141TMP23011513","2023-01-15",13,21.81,1,"°C",141,"Obispado"
"141TMP23011514","2023-01-15",14,23.56,1,"°C",141,"Obispado"
"141TMP23011515","2023-01-15",15,25.26,1,"°C",141,"Obispado"
"141TMP23011516","2023-01-15",16,26.01,1,"°C",141,"Obispado"
"141TMP23011517","2023-01-15",17,26.09,1,"°C",141,"Obispado"
"141TMP23011518","2023-01-15",18,24.82,1,"°C",141,"Obispado"
"141TMP23011519","2023-01-15",19,22.55,1,"°C",141,"Obispado"
"141TMP23011520","2023-01-15",20,20.94,1,"°C",141,"Obispado"
"141TMP23011521","2023-01-15",21,19.72,1,"°C",141,"Obispado"
"141TMP23011522","2023-01-15",22,18.08,1,"°C",141,"Obispado"
"141TMP23011523","2023-01-15",23,17.4,1,"°C",141,"Obispado"
"141TMP23011600","2023-01-16",0,16.47,1,"°C",141,"Obispado"
"141TMP23011601","2023-01-16",1,15.68,1,"°C",141,"Obispado"
"141TMP23011602","2023-01-16",2,15.51,1,"°C",141,"Obispado"
"141TMP23011603","2023-01-16",3,14.58,1,"°C",141,"Obispado"
"141TMP23011604","2023-01-16",4,14.35,1,"°C",141,"Obispado"
"141TMP23011605","2023-01-16",5,14.99,1,"°C",141,"Obispado"
"141TMP23011606","2023-01-16",6,16.06,1,"°C",141,"Obispado"
"141TMP23011607","2023-01-16",7,16.91,1,"°C",141,"Obispado"
"141TMP23011608","2023-01-16",8,19.44,1,"°C",141,"Obispado"
"141TMP23011609","2023-01-16",9,21.2,1,"°C",141,"Obispado"
"141TMP23011610","2023-01-16",10,24.96,1,"°C",141,"Obispado"
"141TMP23011614","2023-01-16",14,31.52,1,"°C",141,"Obispado"
"141TMP23011615","2023-01-16",15,31.79,1,"°C",141,"Obispado"
"141TMP23011616","2023-01-16",16,32.01,1,"°C",141,"Obispado"
"141TMP23011617","2023-01-16",17,31.44,1,"°C",141,"Obispado"
"141TMP23011618","2023-01-16",18,28.1,1,"°C",141,"Obispado"
"141TMP23011619","2023-01-16",19,26.03,1,"°C",141,"Obispado"
"141TMP23011620","2023-01-16",20,24.47,1,"°C",141,"Obispado"
"141TMP23011621","2023-01-16",21,24.01,1,"°C",141,"Obispado"
"141TMP23011622","2023-01-16",22,22.08,1,"°C",141,"Obispado"
"141TMP23011623","2023-01-16",23,20.44,1,"°C",141,"Obispado"
"141TMP23011700","2023-01-17",0,19.75,1,"°C",141,"Obispado"
"141TMP23011701","2023-01-17",1,19.13,1,"°C",141,"Obispado"
"141TMP23011702","2023-01-17",2,18.17,1,"°C",141,"Obispado"
"141TMP23011703","2023-01-17",3,17.83,1,"°C",141,"Obispado"
"141TMP23011704","2023-01-17",4,17.19,1,"°C",141,"Obispado"
"141TMP23011705","2023-01-17",5,16.72,1,"°C",141,"Obispado"
"141TMP23011706","2023-01-17",6,16.74,1,"°C",141,"Obispado"
"141TMP23011707","2023-01-17",7,16.33,1,"°C",141,"Obispado"
"141TMP23011708","2023-01-17",8,16.26,1,"°C",141,"Obispado"
"141TMP23011711","2023-01-17",11,24.46,1,"°C",141,"Obispado"
"141TMP23011713","2023-01-17",13,25.46,1,"°C",141,"Obispado"
"141TMP23011714","2023-01-17",14,27.19,1,"°C",141,"Obispado"
"141TMP23011715","2023-01-17",15,28.18,1,"°C",141,"Obispado"
"141TMP23011716","2023-01-17",16,27.11,1,"°C",141,"Obispado"
"141TMP23011717","2023-01-17",17,26.48,1,"°C",141,"Obispado"
"141TMP23011718","2023-01-17",18,25.8,1,"°C",141,"Obispado"
"141TMP23011719","2023-01-17",19,24.86,1,"°C",141,"Obispado"
"141TMP23011720","2023-01-17",20,23.09,1,"°C",141,"Obispado"
"141TMP23011721","2023-01-17",21,22.83,1,"°C",141,"Obispado"
"141TMP23011722","2023-01-17",22,21.5,1,"°C",141,"Obispado"
"141TMP23011723","2023-01-17",23,20.17,1,"°C",141,"Obispado"
"141TMP23011800","2023-01-18",0,19.69,1,"°C",141,"Obispado"
"141TMP23011801","2023-01-18",1,18.92,1,"°C",141,"Obispado"
"141TMP23011802","2023-01-18",2,18.4,1,"°C",141,"Obispado"
"141TMP23011803","2023-01-18",3,18,1,"°C",141,"Obispado"
"141TMP23011804","2023-01-18",4,17.75,1,"°C",141,"Obispado"
"141TMP23011805","2023-01-18",5,17.8,1,"°C",141,"Obispado"
"141TMP23011806","2023-01-18",6,18.24,1,"°C",141,"Obispado"
"141TMP23011807","2023-01-18",7,17.42,1,"°C",141,"Obispado"
"141TMP23011808","2023-01-18",8,17.8,1,"°C",141,"Obispado"
"141TMP23011811","2023-01-18",11,24.87,1,"°C",141,"Obispado"
"141TMP23011812","2023-01-18",12,24.59,1,"°C",141,"Obispado"
"141TMP23011813","2023-01-18",13,25.02,1,"°C",141,"Obispado"
